pair_id,site_id,indian_priority,landcover,task,split,pair_type,s2_path,hr_path,s2_date,hr_date,dt_days,cloud_pct,crs,align_rmse_px,tile_y,tile_x,lr_h,lr_w,common_bands,notes
DE_FRANKFURT_URBAN_wald_0000_0000,DE_FRANKFURT_URBAN,0,urban,urban,train,wald_synthetic,datasets/raw_s2/DE_FRANKFURT_URBAN.tif,,2025-08-11,2025-08-11,0,0.0,EPSG:32632,0.0,0,0,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
DE_FRANKFURT_URBAN_wald_0000_0038,DE_FRANKFURT_URBAN,0,urban,urban,train,wald_synthetic,datasets/raw_s2/DE_FRANKFURT_URBAN.tif,,2025-08-11,2025-08-11,0,0.0,EPSG:32632,0.0,0,38,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
DE_FRANKFURT_URBAN_wald_0096_0000,DE_FRANKFURT_URBAN,0,urban,urban,train,wald_synthetic,datasets/raw_s2/DE_FRANKFURT_URBAN.tif,,2025-08-11,2025-08-11,0,0.0,EPSG:32632,0.0,96,0,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
DE_FRANKFURT_URBAN_wald_0096_0038,DE_FRANKFURT_URBAN,0,urban,urban,train,wald_synthetic,datasets/raw_s2/DE_FRANKFURT_URBAN.tif,,2025-08-11,2025-08-11,0,0.0,EPSG:32632,0.0,96,38,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
DE_FRANKFURT_URBAN_wald_0129_0000,DE_FRANKFURT_URBAN,0,urban,urban,train,wald_synthetic,datasets/raw_s2/DE_FRANKFURT_URBAN.tif,,2025-08-11,2025-08-11,0,0.0,EPSG:32632,0.0,129,0,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
DE_FRANKFURT_URBAN_wald_0129_0038,DE_FRANKFURT_URBAN,0,urban,urban,train,wald_synthetic,datasets/raw_s2/DE_FRANKFURT_URBAN.tif,,2025-08-11,2025-08-11,0,0.0,EPSG:32632,0.0,129,38,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0000_0000,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,0,0,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0000_0096,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,0,96,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0000_0104,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,0,104,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0096_0000,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,96,0,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0096_0096,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,96,96,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0096_0104,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,96,104,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0129_0000,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,129,0,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0129_0096,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,129,96,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
IND_ASSAM_FLOOD_wald_0129_0104,IND_ASSAM_FLOOD,1,floodplain,disaster,test,wald_synthetic,datasets/raw_s2/IND_ASSAM_FLOOD.tif,,2025-12-18,2025-12-18,0,0.0,EPSG:32646,0.0,129,104,32,32,"B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12",wald scale=4
